C,B,A
insufficient,defoe-robinson-103.txt,5.68E-06
insulted,defoe-robinson-103.txt,5.68E-06
insupportable,defoe-robinson-103.txt,5.68E-06
intending,defoe-robinson-103.txt,5.68E-06
intercede,defoe-robinson-103.txt,5.68E-06
intercession,defoe-robinson-103.txt,5.68E-06
intercessor,defoe-robinson-103.txt,5.68E-06
intermeddle,defoe-robinson-103.txt,5.68E-06
interpreter,defoe-robinson-103.txt,5.68E-06
intervene,defoe-robinson-103.txt,5.68E-06
intimately,defoe-robinson-103.txt,5.68E-06
intimations,defoe-robinson-103.txt,5.68E-06
intolerably,defoe-robinson-103.txt,5.68E-06
introduce,defoe-robinson-103.txt,5.68E-06
introduced,defoe-robinson-103.txt,5.68E-06
introduces,defoe-robinson-103.txt,5.68E-06
invade,defoe-robinson-103.txt,5.68E-06
inventory,defoe-robinson-103.txt,5.68E-06
invincible,defoe-robinson-103.txt,5.68E-06
invited,defoe-robinson-103.txt,5.68E-06
inviting,defoe-robinson-103.txt,5.68E-06
inwardly,defoe-robinson-103.txt,5.68E-06
inwards,defoe-robinson-103.txt,5.68E-06
irishman,defoe-robinson-103.txt,5.68E-06
ironwork,defoe-robinson-103.txt,5.68E-06
irrational,defoe-robinson-103.txt,5.68E-06
irrecoverably,defoe-robinson-103.txt,5.68E-06
irregularly,defoe-robinson-103.txt,5.68E-06
irresistibly,defoe-robinson-103.txt,5.68E-06
irresolute,defoe-robinson-103.txt,5.68E-06
ishmael,defoe-robinson-103.txt,5.68E-06
isle,defoe-robinson-103.txt,5.68E-06
isles,defoe-robinson-103.txt,5.68E-06
italian,defoe-robinson-103.txt,5.68E-06
ivory,defoe-robinson-103.txt,5.68E-06
jackets,defoe-robinson-103.txt,5.68E-06
jamaica,defoe-robinson-103.txt,5.68E-06
jammed,defoe-robinson-103.txt,5.68E-06
jar,defoe-robinson-103.txt,5.68E-06
jealous,defoe-robinson-103.txt,5.68E-06
jerkin,defoe-robinson-103.txt,5.68E-06
jerusalem,defoe-robinson-103.txt,5.68E-06
jest,defoe-robinson-103.txt,5.68E-06
joining,defoe-robinson-103.txt,5.68E-06
jonah,defoe-robinson-103.txt,5.68E-06
jot,defoe-robinson-103.txt,5.68E-06
journals,defoe-robinson-103.txt,5.68E-06
journeys,defoe-robinson-103.txt,5.68E-06
judicial,defoe-robinson-103.txt,5.68E-06
jug,defoe-robinson-103.txt,5.68E-06
keeps,defoe-robinson-103.txt,5.68E-06
kernel,defoe-robinson-103.txt,5.68E-06
kettles,defoe-robinson-103.txt,5.68E-06
kiln,defoe-robinson-103.txt,5.68E-06
kinsmen,defoe-robinson-103.txt,5.68E-06
kneeling,defoe-robinson-103.txt,5.68E-06
knowest,defoe-robinson-103.txt,5.68E-06
kreutznear,defoe-robinson-103.txt,5.68E-06
l100,defoe-robinson-103.txt,5.68E-06
l300,defoe-robinson-103.txt,5.68E-06
l5,defoe-robinson-103.txt,5.68E-06
laborers,defoe-robinson-103.txt,5.68E-06
laboriousness,defoe-robinson-103.txt,5.68E-06
lace,defoe-robinson-103.txt,5.68E-06
lamented,defoe-robinson-103.txt,5.68E-06
lately,defoe-robinson-103.txt,5.68E-06
laths,defoe-robinson-103.txt,5.68E-06
latin,defoe-robinson-103.txt,5.68E-06
launching,defoe-robinson-103.txt,5.68E-06
lawful,defoe-robinson-103.txt,5.68E-06
lawfulness,defoe-robinson-103.txt,5.68E-06
leadenhall,defoe-robinson-103.txt,5.68E-06
leak,defoe-robinson-103.txt,5.68E-06
leaky,defoe-robinson-103.txt,5.68E-06
learnt,defoe-robinson-103.txt,5.68E-06
lee,defoe-robinson-103.txt,5.68E-06
legitimates,defoe-robinson-103.txt,5.68E-06
lemon,defoe-robinson-103.txt,5.68E-06
lending,defoe-robinson-103.txt,5.68E-06
lengths,defoe-robinson-103.txt,5.68E-06
lessened,defoe-robinson-103.txt,5.68E-06
lets,defoe-robinson-103.txt,5.68E-06
levers,defoe-robinson-103.txt,5.68E-06
license,defoe-robinson-103.txt,5.68E-06
lighted,defoe-robinson-103.txt,5.68E-06
lighthouse,defoe-robinson-103.txt,5.68E-06
likelihood,defoe-robinson-103.txt,5.68E-06
liking,defoe-robinson-103.txt,5.68E-06
lime,defoe-robinson-103.txt,5.68E-06
lined,defoe-robinson-103.txt,5.68E-06
liquors,defoe-robinson-103.txt,5.68E-06
loadings,defoe-robinson-103.txt,5.68E-06
locked,defoe-robinson-103.txt,5.68E-06
locker,defoe-robinson-103.txt,5.68E-06
lockhart,defoe-robinson-103.txt,5.68E-06
longboats,defoe-robinson-103.txt,5.68E-06
longed,defoe-robinson-103.txt,5.68E-06
longitude,defoe-robinson-103.txt,5.68E-06
longo,defoe-robinson-103.txt,5.68E-06
loosing,defoe-robinson-103.txt,5.68E-06
loping,defoe-robinson-103.txt,5.68E-06
los,defoe-robinson-103.txt,5.68E-06
lowest,defoe-robinson-103.txt,5.68E-06
lustily,defoe-robinson-103.txt,5.68E-06
maddest,defoe-robinson-103.txt,5.68E-06
madeira,defoe-robinson-103.txt,5.68E-06
madman,defoe-robinson-103.txt,5.68E-06
magistrates,defoe-robinson-103.txt,5.68E-06
mahomet,defoe-robinson-103.txt,5.68E-06
mahometan,defoe-robinson-103.txt,5.68E-06
maintain,defoe-robinson-103.txt,5.68E-06
majesty,defoe-robinson-103.txt,5.68E-06
malefactor,defoe-robinson-103.txt,5.68E-06
malefactors,defoe-robinson-103.txt,5.68E-06
mallet,defoe-robinson-103.txt,5.68E-06
malt,defoe-robinson-103.txt,5.68E-06
maneaters,defoe-robinson-103.txt,5.68E-06
manly,defoe-robinson-103.txt,5.68E-06
manned,defoe-robinson-103.txt,5.68E-06
manufactures,defoe-robinson-103.txt,5.68E-06
manured,defoe-robinson-103.txt,5.68E-06
maps,defoe-robinson-103.txt,5.68E-06
mare,defoe-robinson-103.txt,5.68E-06
marias,defoe-robinson-103.txt,5.68E-06
market,defoe-robinson-103.txt,5.68E-06
marking,defoe-robinson-103.txt,5.68E-06
marksman,defoe-robinson-103.txt,5.68E-06
martha,defoe-robinson-103.txt,5.68E-06
martyr,defoe-robinson-103.txt,5.68E-06
mathematical,defoe-robinson-103.txt,5.68E-06
maturely,defoe-robinson-103.txt,5.68E-06
mayest,defoe-robinson-103.txt,5.68E-06
meadow,defoe-robinson-103.txt,5.68E-06
meadows,defoe-robinson-103.txt,5.68E-06
meanders,defoe-robinson-103.txt,5.68E-06
meddling,defoe-robinson-103.txt,5.68E-06
mediator,defoe-robinson-103.txt,5.68E-06
medium,defoe-robinson-103.txt,5.68E-06
melons,defoe-robinson-103.txt,5.68E-06
melt,defoe-robinson-103.txt,5.68E-06
melted,defoe-robinson-103.txt,5.68E-06
memento,defoe-robinson-103.txt,5.68E-06
mended,defoe-robinson-103.txt,5.68E-06
merchandise,defoe-robinson-103.txt,5.68E-06
meridian,defoe-robinson-103.txt,5.68E-06
merriment,defoe-robinson-103.txt,5.68E-06
messmate,defoe-robinson-103.txt,5.68E-06
messmates,defoe-robinson-103.txt,5.68E-06
methough,defoe-robinson-103.txt,5.68E-06
middling,defoe-robinson-103.txt,5.68E-06
milking,defoe-robinson-103.txt,5.68E-06
minded,defoe-robinson-103.txt,5.68E-06
miniature,defoe-robinson-103.txt,5.68E-06
miracles,defoe-robinson-103.txt,5.68E-06
mirth,defoe-robinson-103.txt,5.68E-06
mischiefs,defoe-robinson-103.txt,5.68E-06
mischieving,defoe-robinson-103.txt,5.68E-06
miser,defoe-robinson-103.txt,5.68E-06
miserablest,defoe-robinson-103.txt,5.68E-06
miserably,defoe-robinson-103.txt,5.68E-06
misguided,defoe-robinson-103.txt,5.68E-06
misshapen,defoe-robinson-103.txt,5.68E-06
misspent,defoe-robinson-103.txt,5.68E-06
mistakes,defoe-robinson-103.txt,5.68E-06
mistaking,defoe-robinson-103.txt,5.68E-06
mistrust,defoe-robinson-103.txt,5.68E-06
mizzen,defoe-robinson-103.txt,5.68E-06
moderation,defoe-robinson-103.txt,5.68E-06
modestly,defoe-robinson-103.txt,5.68E-06
moister,defoe-robinson-103.txt,5.68E-06
molasses,defoe-robinson-103.txt,5.68E-06
monsters,defoe-robinson-103.txt,5.68E-06
monstrously,defoe-robinson-103.txt,5.68E-06
monthly,defoe-robinson-103.txt,5.68E-06
moored,defoe-robinson-103.txt,5.68E-06
moorish,defoe-robinson-103.txt,5.68E-06
mortification,defoe-robinson-103.txt,5.68E-06
mostly,defoe-robinson-103.txt,5.68E-06
mount,defoe-robinson-103.txt,5.68E-06
mouthed,defoe-robinson-103.txt,5.68E-06
mouthful,defoe-robinson-103.txt,5.68E-06
mouths,defoe-robinson-103.txt,5.68E-06
mow,defoe-robinson-103.txt,5.68E-06
mr,defoe-robinson-103.txt,5.68E-06
mulatto,defoe-robinson-103.txt,5.68E-06
multiply,defoe-robinson-103.txt,5.68E-06
muly,defoe-robinson-103.txt,5.68E-06
murderer,defoe-robinson-103.txt,5.68E-06
murdering,defoe-robinson-103.txt,5.68E-06
murmurings,defoe-robinson-103.txt,5.68E-06
musketbore,defoe-robinson-103.txt,5.68E-06
muslin,defoe-robinson-103.txt,5.68E-06
mustachios,defoe-robinson-103.txt,5.68E-06
mustered,defoe-robinson-103.txt,5.68E-06
mutually,defoe-robinson-103.txt,5.68E-06
nail,defoe-robinson-103.txt,5.68E-06
naming,defoe-robinson-103.txt,5.68E-06
narrowed,defoe-robinson-103.txt,5.68E-06
nasty,defoe-robinson-103.txt,5.68E-06
naturalists,defoe-robinson-103.txt,5.68E-06
naturalization,defoe-robinson-103.txt,5.68E-06
nauseate,defoe-robinson-103.txt,5.68E-06
navarre,defoe-robinson-103.txt,5.68E-06
necessitated,defoe-robinson-103.txt,5.68E-06
needless,defoe-robinson-103.txt,5.68E-06
neer,defoe-robinson-103.txt,5.68E-06
negative,defoe-robinson-103.txt,5.68E-06
negro,defoe-robinson-103.txt,5.68E-06
nephew,defoe-robinson-103.txt,5.68E-06
nephews,defoe-robinson-103.txt,5.68E-06
nerves,defoe-robinson-103.txt,5.68E-06
ness,defoe-robinson-103.txt,5.68E-06
nevermore,defoe-robinson-103.txt,5.68E-06
newcastle,defoe-robinson-103.txt,5.68E-06
nicaragua,defoe-robinson-103.txt,5.68E-06
nicest,defoe-robinson-103.txt,5.68E-06
niceties,defoe-robinson-103.txt,5.68E-06
nimbly,defoe-robinson-103.txt,5.68E-06
nne,defoe-robinson-103.txt,5.68E-06
nnw,defoe-robinson-103.txt,5.68E-06
noronha,defoe-robinson-103.txt,5.68E-06
northeast,defoe-robinson-103.txt,5.68E-06
norward,defoe-robinson-103.txt,5.68E-06
notorious,defoe-robinson-103.txt,5.68E-06
nourished,defoe-robinson-103.txt,5.68E-06
numbed,defoe-robinson-103.txt,5.68E-06
nurse,defoe-robinson-103.txt,5.68E-06
oakum,defoe-robinson-103.txt,5.68E-06
oatmeal,defoe-robinson-103.txt,5.68E-06
obedient,defoe-robinson-103.txt,5.68E-06
objection,defoe-robinson-103.txt,5.68E-06
objects,defoe-robinson-103.txt,5.68E-06
obligations,defoe-robinson-103.txt,5.68E-06
obliges,defoe-robinson-103.txt,5.68E-06
observer,defoe-robinson-103.txt,5.68E-06
obstinacy,defoe-robinson-103.txt,5.68E-06
obstinate,defoe-robinson-103.txt,5.68E-06
obstinately,defoe-robinson-103.txt,5.68E-06
obstruction,defoe-robinson-103.txt,5.68E-06
obtain,defoe-robinson-103.txt,5.68E-06
obtaining,defoe-robinson-103.txt,5.68E-06
offended,defoe-robinson-103.txt,5.68E-06
offenders,defoe-robinson-103.txt,5.68E-06
offers,defoe-robinson-103.txt,5.68E-06
officers,defoe-robinson-103.txt,5.68E-06
officious,defoe-robinson-103.txt,5.68E-06
olive,defoe-robinson-103.txt,5.68E-06
omnipotence,defoe-robinson-103.txt,5.68E-06
onward,defoe-robinson-103.txt,5.68E-06
onwards,defoe-robinson-103.txt,5.68E-06
oowokakee,defoe-robinson-103.txt,5.68E-06
oozy,defoe-robinson-103.txt,5.68E-06
openness,defoe-robinson-103.txt,5.68E-06
operations,defoe-robinson-103.txt,5.68E-06
opportunities,defoe-robinson-103.txt,5.68E-06
opposed,defoe-robinson-103.txt,5.68E-06
opposition,defoe-robinson-103.txt,5.68E-06
optics,defoe-robinson-103.txt,5.68E-06
orange,defoe-robinson-103.txt,5.68E-06
orinoco,defoe-robinson-103.txt,5.68E-06
osier,defoe-robinson-103.txt,5.68E-06
osiers,defoe-robinson-103.txt,5.68E-06
ounces,defoe-robinson-103.txt,5.68E-06
outermost,defoe-robinson-103.txt,5.68E-06
outmost,defoe-robinson-103.txt,5.68E-06
outright,defoe-robinson-103.txt,5.68E-06
outstripped,defoe-robinson-103.txt,5.68E-06
outward,defoe-robinson-103.txt,5.68E-06
overbeat,defoe-robinson-103.txt,5.68E-06
overflowed,defoe-robinson-103.txt,5.68E-06
overjoyed,defoe-robinson-103.txt,5.68E-06
overladen,defoe-robinson-103.txt,5.68E-06
overlook,defoe-robinson-103.txt,5.68E-06
overpowered,defoe-robinson-103.txt,5.68E-06
overrule,defoe-robinson-103.txt,5.68E-06
overrun,defoe-robinson-103.txt,5.68E-06
oversee,defoe-robinson-103.txt,5.68E-06
overtakes,defoe-robinson-103.txt,5.68E-06
overtop,defoe-robinson-103.txt,5.68E-06
overturned,defoe-robinson-103.txt,5.68E-06
overwhelm,defoe-robinson-103.txt,5.68E-06
owing,defoe-robinson-103.txt,5.68E-06
owner,defoe-robinson-103.txt,5.68E-06
ox,defoe-robinson-103.txt,5.68E-06
paces,defoe-robinson-103.txt,5.68E-06
packet,defoe-robinson-103.txt,5.68E-06
paddlers,defoe-robinson-103.txt,5.68E-06
padre,defoe-robinson-103.txt,5.68E-06
pagan,defoe-robinson-103.txt,5.68E-06
pagans,defoe-robinson-103.txt,5.68E-06
painstaking,defoe-robinson-103.txt,5.68E-06
palms,defoe-robinson-103.txt,5.68E-06
papers,defoe-robinson-103.txt,5.68E-06
parable,defoe-robinson-103.txt,5.68E-06
pardoned,defoe-robinson-103.txt,5.68E-06
parleyed,defoe-robinson-103.txt,5.68E-06
parleying,defoe-robinson-103.txt,5.68E-06
parties,defoe-robinson-103.txt,5.68E-06
parting,defoe-robinson-103.txt,5.68E-06
partitions,defoe-robinson-103.txt,5.68E-06
passionately,defoe-robinson-103.txt,5.68E-06
pastry,defoe-robinson-103.txt,5.68E-06
paved,defoe-robinson-103.txt,5.68E-06
paying,defoe-robinson-103.txt,5.68E-06
payment,defoe-robinson-103.txt,5.68E-06
peep,defoe-robinson-103.txt,5.68E-06
peering,defoe-robinson-103.txt,5.68E-06
pendants,defoe-robinson-103.txt,5.68E-06
penguins,defoe-robinson-103.txt,5.68E-06
penitence,defoe-robinson-103.txt,5.68E-06
penitents,defoe-robinson-103.txt,5.68E-06
penned,defoe-robinson-103.txt,5.68E-06
penny,defoe-robinson-103.txt,5.68E-06
peopled,defoe-robinson-103.txt,5.68E-06
periaguas,defoe-robinson-103.txt,5.68E-06
permission,defoe-robinson-103.txt,5.68E-06
pernicious,defoe-robinson-103.txt,5.68E-06
perplexing,defoe-robinson-103.txt,5.68E-06
perplexities,defoe-robinson-103.txt,5.68E-06
perplexity,defoe-robinson-103.txt,5.68E-06
perserving,defoe-robinson-103.txt,5.68E-06
persist,defoe-robinson-103.txt,5.68E-06
perspectives,defoe-robinson-103.txt,5.68E-06
perturbation,defoe-robinson-103.txt,5.68E-06
peru,defoe-robinson-103.txt,5.68E-06
pestered,defoe-robinson-103.txt,5.68E-06
philistines,defoe-robinson-103.txt,5.68E-06
physic,defoe-robinson-103.txt,5.68E-06
physician,defoe-robinson-103.txt,5.68E-06
pickled,defoe-robinson-103.txt,5.68E-06
pico,defoe-robinson-103.txt,5.68E-06
pigeon,defoe-robinson-103.txt,5.68E-06
pikes,defoe-robinson-103.txt,5.68E-06
pilots,defoe-robinson-103.txt,5.68E-06
pins,defoe-robinson-103.txt,5.68E-06
pints,defoe-robinson-103.txt,5.68E-06
pipkins,defoe-robinson-103.txt,5.68E-06
pirate,defoe-robinson-103.txt,5.68E-06
pirates,defoe-robinson-103.txt,5.68E-06
pitchers,defoe-robinson-103.txt,5.68E-06
piteous,defoe-robinson-103.txt,5.68E-06
piteously,defoe-robinson-103.txt,5.68E-06
pitfall,defoe-robinson-103.txt,5.68E-06
plague,defoe-robinson-103.txt,5.68E-06
plainer,defoe-robinson-103.txt,5.68E-06
plan,defoe-robinson-103.txt,5.68E-06
planation,defoe-robinson-103.txt,5.68E-06
pleasantest,defoe-robinson-103.txt,5.68E-06
plough,defoe-robinson-103.txt,5.68E-06
plump,defoe-robinson-103.txt,5.68E-06
plunder,defoe-robinson-103.txt,5.68E-06
pockets,defoe-robinson-103.txt,5.68E-06
poisonous,defoe-robinson-103.txt,5.68E-06
politics,defoe-robinson-103.txt,5.68E-06
popish,defoe-robinson-103.txt,5.68E-06
pored,defoe-robinson-103.txt,5.68E-06
possessing,defoe-robinson-103.txt,5.68E-06
potter,defoe-robinson-103.txt,5.68E-06
potters,defoe-robinson-103.txt,5.68E-06
pouches,defoe-robinson-103.txt,5.68E-06
poultry,defoe-robinson-103.txt,5.68E-06
powderhorn,defoe-robinson-103.txt,5.68E-06
powerful,defoe-robinson-103.txt,5.68E-06
practicable,defoe-robinson-103.txt,5.68E-06
practices,defoe-robinson-103.txt,5.68E-06
practise,defoe-robinson-103.txt,5.68E-06
preached,defoe-robinson-103.txt,5.68E-06
precaution,defoe-robinson-103.txt,5.68E-06
precipice,defoe-robinson-103.txt,5.68E-06
precipices,defoe-robinson-103.txt,5.68E-06
prediction,defoe-robinson-103.txt,5.68E-06
prejudice,defoe-robinson-103.txt,5.68E-06
premeditate,defoe-robinson-103.txt,5.68E-06
preparation,defoe-robinson-103.txt,5.68E-06
prepossessed,defoe-robinson-103.txt,5.68E-06
preserving,defoe-robinson-103.txt,5.68E-06
pressings,defoe-robinson-103.txt,5.68E-06
presume,defoe-robinson-103.txt,5.68E-06
prevailing,defoe-robinson-103.txt,5.68E-06
priest,defoe-robinson-103.txt,5.68E-06
priests,defoe-robinson-103.txt,5.68E-06
prime,defoe-robinson-103.txt,5.68E-06
princes,defoe-robinson-103.txt,5.68E-06
principle,defoe-robinson-103.txt,5.68E-06
prisons,defoe-robinson-103.txt,5.68E-06
privately,defoe-robinson-103.txt,5.68E-06
privy,defoe-robinson-103.txt,5.68E-06
proceedings,defoe-robinson-103.txt,5.68E-06
procurator,defoe-robinson-103.txt,5.68E-06
procure,defoe-robinson-103.txt,5.68E-06
procured,defoe-robinson-103.txt,5.68E-06
procuring,defoe-robinson-103.txt,5.68E-06
prodigal,defoe-robinson-103.txt,5.68E-06
prodigy,defoe-robinson-103.txt,5.68E-06
producing,defoe-robinson-103.txt,5.68E-06
production,defoe-robinson-103.txt,5.68E-06
profane,defoe-robinson-103.txt,5.68E-06
professed,defoe-robinson-103.txt,5.68E-06
profitable,defoe-robinson-103.txt,5.68E-06
promiscuously,defoe-robinson-103.txt,5.68E-06
prop,defoe-robinson-103.txt,5.68E-06
propension,defoe-robinson-103.txt,5.68E-06
properly,defoe-robinson-103.txt,5.68E-06
properties,defoe-robinson-103.txt,5.68E-06
prospects,defoe-robinson-103.txt,5.68E-06
prosperity,defoe-robinson-103.txt,5.68E-06
prostrating,defoe-robinson-103.txt,5.68E-06
protestant,defoe-robinson-103.txt,5.68E-06
protestations,defoe-robinson-103.txt,5.68E-06
protesting,defoe-robinson-103.txt,5.68E-06
prove,defoe-robinson-103.txt,5.68E-06
provedidore,defoe-robinson-103.txt,5.68E-06
providential,defoe-robinson-103.txt,5.68E-06
providentially,defoe-robinson-103.txt,5.68E-06
provinces,defoe-robinson-103.txt,5.68E-06
proving,defoe-robinson-103.txt,5.68E-06
prudential,defoe-robinson-103.txt,5.68E-06
pruned,defoe-robinson-103.txt,5.68E-06
publicly,defoe-robinson-103.txt,5.68E-06
puddings,defoe-robinson-103.txt,5.68E-06
punishments,defoe-robinson-103.txt,5.68E-06
pure,defoe-robinson-103.txt,5.68E-06
pursuers,defoe-robinson-103.txt,5.68E-06
pushing,defoe-robinson-103.txt,5.68E-06
puts,defoe-robinson-103.txt,5.68E-06
pyrenean,defoe-robinson-103.txt,5.68E-06
qualities,defoe-robinson-103.txt,5.68E-06
quandary,defoe-robinson-103.txt,5.68E-06
quarts,defoe-robinson-103.txt,5.68E-06
quench,defoe-robinson-103.txt,5.68E-06
questioned,defoe-robinson-103.txt,5.68E-06
quicksand,defoe-robinson-103.txt,5.68E-06
quieted,defoe-robinson-103.txt,5.68E-06
quietness,defoe-robinson-103.txt,5.68E-06
quit,defoe-robinson-103.txt,5.68E-06
quitting,defoe-robinson-103.txt,5.68E-06
rack,defoe-robinson-103.txt,5.68E-06
racked,defoe-robinson-103.txt,5.68E-06
ramble,defoe-robinson-103.txt,5.68E-06
ramblings,defoe-robinson-103.txt,5.68E-06
rank,defoe-robinson-103.txt,5.68E-06
rankling,defoe-robinson-103.txt,5.68E-06
rapidness,defoe-robinson-103.txt,5.68E-06
rare,defoe-robinson-103.txt,5.68E-06
rationally,defoe-robinson-103.txt,5.68E-06
ravens,defoe-robinson-103.txt,5.68E-06
realizing,defoe-robinson-103.txt,5.68E-06
reap,defoe-robinson-103.txt,5.68E-06
reasoning,defoe-robinson-103.txt,5.68E-06
reasonings,defoe-robinson-103.txt,5.68E-06
reassume,defoe-robinson-103.txt,5.68E-06
rebelled,defoe-robinson-103.txt,5.68E-06
rebellion,defoe-robinson-103.txt,5.68E-06
rebellious,defoe-robinson-103.txt,5.68E-06
receipt,defoe-robinson-103.txt,5.68E-06
receiver,defoe-robinson-103.txt,5.68E-06
receivers,defoe-robinson-103.txt,5.68E-06
reckon,defoe-robinson-103.txt,5.68E-06
recommendation,defoe-robinson-103.txt,5.68E-06
recommending,defoe-robinson-103.txt,5.68E-06
recompense,defoe-robinson-103.txt,5.68E-06
reconcile,defoe-robinson-103.txt,5.68E-06
reconciling,defoe-robinson-103.txt,5.68E-06
recrossing,defoe-robinson-103.txt,5.68E-06
redeem,defoe-robinson-103.txt,5.68E-06
redeemer,defoe-robinson-103.txt,5.68E-06
redoubled,defoe-robinson-103.txt,5.68E-06
reduce,defoe-robinson-103.txt,5.68E-06
reducing,defoe-robinson-103.txt,5.68E-06
reeds,defoe-robinson-103.txt,5.68E-06
refitted,defoe-robinson-103.txt,5.68E-06
reflux,defoe-robinson-103.txt,5.68E-06
reformation,defoe-robinson-103.txt,5.68E-06
refractory,defoe-robinson-103.txt,5.68E-06
refresh,defoe-robinson-103.txt,5.68E-06
refuge,defoe-robinson-103.txt,5.68E-06
refunded,defoe-robinson-103.txt,5.68E-06
regale,defoe-robinson-103.txt,5.68E-06
regiment,defoe-robinson-103.txt,5.68E-06
registered,defoe-robinson-103.txt,5.68E-06
regress,defoe-robinson-103.txt,5.68E-06
regulated,defoe-robinson-103.txt,5.68E-06
rejected,defoe-robinson-103.txt,5.68E-06
rejoice,defoe-robinson-103.txt,5.68E-06
relate,defoe-robinson-103.txt,5.68E-06
relation,defoe-robinson-103.txt,5.68E-06
release,defoe-robinson-103.txt,5.68E-06
relics,defoe-robinson-103.txt,5.68E-06
reluctance,defoe-robinson-103.txt,5.68E-06
reluctancy,defoe-robinson-103.txt,5.68E-06
remains,defoe-robinson-103.txt,5.68E-06
remission,defoe-robinson-103.txt,5.68E-06
remorse,defoe-robinson-103.txt,5.68E-06
renew,defoe-robinson-103.txt,5.68E-06
repass,defoe-robinson-103.txt,5.68E-06
repassed,defoe-robinson-103.txt,5.68E-06
repeating,defoe-robinson-103.txt,5.68E-06
repenting,defoe-robinson-103.txt,5.68E-06
repine,defoe-robinson-103.txt,5.68E-06
repined,defoe-robinson-103.txt,5.68E-06
repining,defoe-robinson-103.txt,5.68E-06
report,defoe-robinson-103.txt,5.68E-06
reported,defoe-robinson-103.txt,5.68E-06
representing,defoe-robinson-103.txt,5.68E-06
reproach,defoe-robinson-103.txt,5.68E-06
reproaches,defoe-robinson-103.txt,5.68E-06
reproaching,defoe-robinson-103.txt,5.68E-06
reprove,defoe-robinson-103.txt,5.68E-06
reproved,defoe-robinson-103.txt,5.68E-06
reproving,defoe-robinson-103.txt,5.68E-06
repulse,defoe-robinson-103.txt,5.68E-06
request,defoe-robinson-103.txt,5.68E-06
requisite,defoe-robinson-103.txt,5.68E-06
requital,defoe-robinson-103.txt,5.68E-06
requited,defoe-robinson-103.txt,5.68E-06
resembling,defoe-robinson-103.txt,5.68E-06
resentments,defoe-robinson-103.txt,5.68E-06
resign,defoe-robinson-103.txt,5.68E-06
respectively,defoe-robinson-103.txt,5.68E-06
restrain,defoe-robinson-103.txt,5.68E-06
retribution,defoe-robinson-103.txt,5.68E-06
reveal,defoe-robinson-103.txt,5.68E-06
revenue,defoe-robinson-103.txt,5.68E-06
revive,defoe-robinson-103.txt,5.68E-06
richer,defoe-robinson-103.txt,5.68E-06
richness,defoe-robinson-103.txt,5.68E-06
rightly,defoe-robinson-103.txt,5.68E-06
ringleader,defoe-robinson-103.txt,5.68E-06
riot,defoe-robinson-103.txt,5.68E-06
ripen,defoe-robinson-103.txt,5.68E-06
rites,defoe-robinson-103.txt,5.68E-06
rivals,defoe-robinson-103.txt,5.68E-06
rivulet,defoe-robinson-103.txt,5.68E-06
roarings,defoe-robinson-103.txt,5.68E-06
roasted,defoe-robinson-103.txt,5.68E-06
roasting,defoe-robinson-103.txt,5.68E-06
robberies,defoe-robinson-103.txt,5.68E-06
rochelle,defoe-robinson-103.txt,5.68E-06
rooting,defoe-robinson-103.txt,5.68E-06
rot,defoe-robinson-103.txt,5.68E-06
roughness,defoe-robinson-103.txt,5.68E-06
rousing,defoe-robinson-103.txt,5.68E-06
royals,defoe-robinson-103.txt,5.68E-06
rude,defoe-robinson-103.txt,5.68E-06
rummaged,defoe-robinson-103.txt,5.68E-06
runlet,defoe-robinson-103.txt,5.68E-06
sacraments,defoe-robinson-103.txt,5.68E-06
sacrificing,defoe-robinson-103.txt,5.68E-06
saddle,defoe-robinson-103.txt,5.68E-06
safely,defoe-robinson-103.txt,5.68E-06
sagacious,defoe-robinson-103.txt,5.68E-06
sailing,defoe-robinson-103.txt,5.68E-06
saints,defoe-robinson-103.txt,5.68E-06
sallied,defoe-robinson-103.txt,5.68E-06
sallows,defoe-robinson-103.txt,5.68E-06
sally,defoe-robinson-103.txt,5.68E-06
salvador,defoe-robinson-103.txt,5.68E-06
sanctifier,defoe-robinson-103.txt,5.68E-06
santos,defoe-robinson-103.txt,5.68E-06
satan,defoe-robinson-103.txt,5.68E-06
satisfactory,defoe-robinson-103.txt,5.68E-06
saul,defoe-robinson-103.txt,5.68E-06
savingly,defoe-robinson-103.txt,5.68E-06
savory,defoe-robinson-103.txt,5.68E-06
saws,defoe-robinson-103.txt,5.68E-06
sawyers,defoe-robinson-103.txt,5.68E-06
sayest,defoe-robinson-103.txt,5.68E-06
scarcity,defoe-robinson-103.txt,5.68E-06
scare,defoe-robinson-103.txt,5.68E-06
school,defoe-robinson-103.txt,5.68E-06
scots,defoe-robinson-103.txt,5.68E-06
scotsman,defoe-robinson-103.txt,5.68E-06
scout,defoe-robinson-103.txt,5.68E-06
scrambles,defoe-robinson-103.txt,5.68E-06
scratch,defoe-robinson-103.txt,5.68E-06
screw,defoe-robinson-103.txt,5.68E-06
scriptures,defoe-robinson-103.txt,5.68E-06
scrupled,defoe-robinson-103.txt,5.68E-06
scudding,defoe-robinson-103.txt,5.68E-06
scuttle,defoe-robinson-103.txt,5.68E-06
scythe,defoe-robinson-103.txt,5.68E-06
seals,defoe-robinson-103.txt,5.68E-06
seas,defoe-robinson-103.txt,5.68E-06
seated,defoe-robinson-103.txt,5.68E-06
