A,B
27838,2.33E-06
27839,2.33E-06
36670,2.33E-06
36671,2.33E-06
20685,2.33E-06
20686,2.33E-06
20690,2.33E-06
20707,2.33E-06
20716,2.33E-06
37475,2.33E-06
37476,2.33E-06
37477,2.33E-06
37478,2.33E-06
37481,2.33E-06
55683,2.33E-06
45622,2.33E-06
45623,2.33E-06
55753,2.33E-06
55754,2.33E-06
55755,2.33E-06
55756,2.33E-06
10284,2.33E-06
14497,2.33E-06
52912,2.33E-06
33452,2.33E-06
33453,2.33E-06
53008,2.33E-06
38504,2.33E-06
21975,2.33E-06
48057,2.33E-06
48058,2.33E-06
32645,2.33E-06
41028,2.33E-06
41029,2.33E-06
41030,2.33E-06
41032,2.33E-06
30323,2.33E-06
47771,2.33E-06
65031,2.33E-06
13015,2.33E-06
14738,2.33E-06
15993,2.33E-06
18099,2.33E-06
18100,2.33E-06
18102,2.33E-06
18103,2.33E-06
18111,2.33E-06
26158,2.33E-06
26159,2.33E-06
5592,2.33E-06
48436,2.33E-06
48437,2.33E-06
59627,2.33E-06
28736,2.33E-06
28737,2.33E-06
42896,2.33E-06
33619,2.33E-06
47460,2.33E-06
47462,2.33E-06
54680,2.33E-06
65741,2.33E-06
50365,2.33E-06
50366,2.33E-06
18593,2.33E-06
55001,2.33E-06
16223,2.33E-06
41043,2.33E-06
19891,2.33E-06
62642,2.32E-06
62643,2.32E-06
22122,2.32E-06
22124,2.32E-06
22125,2.32E-06
20289,2.32E-06
45688,2.32E-06
45689,2.32E-06
41065,2.32E-06
38028,2.32E-06
51243,2.32E-06
44121,2.32E-06
32757,2.32E-06
28545,2.32E-06
28548,2.32E-06
28551,2.32E-06
38598,2.32E-06
53282,2.32E-06
53283,2.32E-06
53284,2.32E-06
62998,2.32E-06
8492,2.32E-06
24745,2.32E-06
34360,2.32E-06
45376,2.32E-06
25568,2.32E-06
33949,2.32E-06
36617,2.32E-06
30478,2.32E-06
36018,2.32E-06
8388,2.32E-06
19250,2.32E-06
19251,2.32E-06
19252,2.32E-06
44355,2.32E-06
42582,2.32E-06
47071,2.32E-06
25701,2.32E-06
25702,2.32E-06
25703,2.32E-06
25704,2.32E-06
25705,2.32E-06
55106,2.32E-06
55108,2.32E-06
24263,2.32E-06
41000,2.32E-06
41001,2.32E-06
41002,2.32E-06
41003,2.32E-06
27623,2.32E-06
20834,2.32E-06
25550,2.32E-06
31932,2.32E-06
31935,2.32E-06
47709,2.32E-06
28856,2.32E-06
43895,2.32E-06
43896,2.32E-06
24435,2.32E-06
56136,2.32E-06
57272,2.32E-06
40275,2.32E-06
46138,2.32E-06
46140,2.32E-06
33494,2.32E-06
52403,2.32E-06
23551,2.32E-06
43614,2.32E-06
43615,2.32E-06
43616,2.32E-06
38489,2.32E-06
53862,2.32E-06
58176,2.32E-06
48488,2.32E-06
48489,2.32E-06
6098,2.32E-06
6258,2.32E-06
6259,2.32E-06
6260,2.32E-06
6266,2.32E-06
6268,2.32E-06
6273,2.32E-06
6279,2.32E-06
6280,2.32E-06
6284,2.32E-06
6286,2.32E-06
6287,2.32E-06
19643,2.32E-06
73078,2.32E-06
73079,2.32E-06
73081,2.32E-06
73082,2.32E-06
17585,2.32E-06
18048,2.32E-06
18049,2.32E-06
47247,2.32E-06
53822,2.32E-06
25213,2.32E-06
54991,2.32E-06
54992,2.32E-06
21833,2.32E-06
32653,2.32E-06
55103,2.32E-06
55104,2.32E-06
30227,2.32E-06
13639,2.32E-06
9514,2.32E-06
18041,2.32E-06
19755,2.32E-06
19758,2.32E-06
21544,2.32E-06
46119,2.32E-06
11086,2.32E-06
32832,2.32E-06
57717,2.32E-06
42594,2.32E-06
42596,2.32E-06
45382,2.32E-06
49442,2.32E-06
45950,2.32E-06
45951,2.32E-06
45955,2.32E-06
45956,2.32E-06
45957,2.32E-06
10776,2.32E-06
35930,2.32E-06
35931,2.32E-06
35933,2.32E-06
35935,2.32E-06
35936,2.32E-06
35937,2.32E-06
42131,2.32E-06
59618,2.32E-06
21104,2.32E-06
31381,2.32E-06
36446,2.32E-06
24261,2.32E-06
21094,2.32E-06
21102,2.32E-06
61128,2.32E-06
17725,2.32E-06
36566,2.32E-06
36567,2.32E-06
36568,2.32E-06
46473,2.32E-06
63537,2.32E-06
12325,2.32E-06
30928,2.32E-06
22563,2.32E-06
51411,2.32E-06
51412,2.32E-06
54728,2.32E-06
35596,2.32E-06
62618,2.31E-06
62619,2.31E-06
62620,2.31E-06
39749,2.31E-06
49793,2.31E-06
49794,2.31E-06
46878,2.31E-06
46880,2.31E-06
46882,2.31E-06
32912,2.31E-06
48186,2.31E-06
48187,2.31E-06
48188,2.31E-06
48189,2.31E-06
48190,2.31E-06
48191,2.31E-06
33163,2.31E-06
38768,2.31E-06
14691,2.31E-06
30242,2.31E-06
37469,2.31E-06
37470,2.31E-06
37471,2.31E-06
37472,2.31E-06
37473,2.31E-06
13649,2.31E-06
28597,2.31E-06
17849,2.31E-06
57236,2.31E-06
57576,2.31E-06
57577,2.31E-06
32325,2.31E-06
53686,2.31E-06
53688,2.31E-06
65736,2.31E-06
58052,2.31E-06
3628,2.31E-06
7448,2.31E-06
9574,2.31E-06
9725,2.31E-06
11090,2.31E-06
11091,2.31E-06
11625,2.31E-06
12031,2.31E-06
14080,2.31E-06
14831,2.31E-06
22055,2.31E-06
23511,2.31E-06
23512,2.31E-06
24695,2.31E-06
24746,2.31E-06
25199,2.31E-06
31053,2.31E-06
34941,2.31E-06
35297,2.31E-06
39115,2.31E-06
40182,2.31E-06
40184,2.31E-06
40924,2.31E-06
42206,2.31E-06
46460,2.31E-06
46713,2.31E-06
46718,2.31E-06
47234,2.31E-06
48272,2.31E-06
48851,2.31E-06
48852,2.31E-06
48907,2.31E-06
48908,2.31E-06
49525,2.31E-06
50340,2.31E-06
50864,2.31E-06
51899,2.31E-06
52279,2.31E-06
52329,2.31E-06
53198,2.31E-06
54404,2.31E-06
54408,2.31E-06
55158,2.31E-06
56322,2.31E-06
56996,2.31E-06
56997,2.31E-06
56998,2.31E-06
57259,2.31E-06
57888,2.31E-06
58499,2.31E-06
58629,2.31E-06
58753,2.31E-06
59169,2.31E-06
59174,2.31E-06
60334,2.31E-06
60335,2.31E-06
60388,2.31E-06
60395,2.31E-06
60526,2.31E-06
60606,2.31E-06
61049,2.31E-06
61260,2.31E-06
61717,2.31E-06
61976,2.31E-06
62189,2.31E-06
62591,2.31E-06
62606,2.31E-06
62972,2.31E-06
63184,2.31E-06
63190,2.31E-06
63366,2.31E-06
63367,2.31E-06
64000,2.31E-06
64373,2.31E-06
66124,2.31E-06
66125,2.31E-06
66480,2.31E-06
66914,2.31E-06
67439,2.31E-06
67440,2.31E-06
67441,2.31E-06
68126,2.31E-06
68127,2.31E-06
68512,2.31E-06
68513,2.31E-06
69049,2.31E-06
69050,2.31E-06
69244,2.31E-06
69492,2.31E-06
9697,2.31E-06
32839,2.31E-06
41041,2.31E-06
54523,2.31E-06
33062,2.31E-06
14380,2.31E-06
46231,2.31E-06
25718,2.31E-06
39404,2.31E-06
39405,2.31E-06
39408,2.31E-06
39409,2.31E-06
39412,2.31E-06
39417,2.31E-06
39418,2.31E-06
39419,2.31E-06
52142,2.31E-06
26736,2.31E-06
47974,2.31E-06
54879,2.31E-06
54880,2.31E-06
56717,2.31E-06
39159,2.31E-06
9422,2.31E-06
20015,2.31E-06
20245,2.31E-06
71607,2.31E-06
46462,2.31E-06
46463,2.31E-06
27602,2.31E-06
22273,2.31E-06
42549,2.31E-06
26144,2.31E-06
51952,2.31E-06
11529,2.31E-06
12090,2.31E-06
12091,2.31E-06
12092,2.31E-06
12094,2.31E-06
12098,2.31E-06
12099,2.31E-06
31715,2.31E-06
59730,2.31E-06
33405,2.31E-06
33406,2.31E-06
62808,2.31E-06
15884,2.31E-06
40070,2.31E-06
40071,2.31E-06
40073,2.31E-06
40074,2.31E-06
40075,2.31E-06
53395,2.31E-06
53396,2.31E-06
53398,2.31E-06
57960,2.31E-06
44390,2.31E-06
37178,2.31E-06
31589,2.31E-06
49539,2.31E-06
49540,2.31E-06
48342,2.31E-06
48343,2.31E-06
29275,2.31E-06
33170,2.31E-06
33171,2.31E-06
45510,2.31E-06
60220,2.31E-06
60221,2.31E-06
28692,2.31E-06
53266,2.31E-06
22390,2.31E-06
59406,2.31E-06
59407,2.31E-06
59408,2.31E-06
59409,2.31E-06
59412,2.31E-06
41115,2.31E-06
27227,2.31E-06
52052,2.31E-06
52053,2.31E-06
33316,2.31E-06
63150,2.31E-06
71518,2.31E-06
63838,2.31E-06
63839,2.31E-06
48635,2.31E-06
10342,2.31E-06
52056,2.31E-06
63129,2.31E-06
35098,2.31E-06
35347,2.31E-06
42061,2.31E-06
42062,2.31E-06
42066,2.31E-06
42067,2.31E-06
42070,2.31E-06
42071,2.31E-06
42072,2.31E-06
42073,2.31E-06
42077,2.31E-06
42078,2.31E-06
42079,2.31E-06
42080,2.31E-06
42081,2.31E-06
42087,2.31E-06
36302,2.31E-06
57756,2.31E-06
31686,2.31E-06
31687,2.31E-06
31688,2.31E-06
31689,2.31E-06
31692,2.31E-06
31693,2.31E-06
53703,2.31E-06
36642,2.31E-06
45293,2.31E-06
45294,2.31E-06
45295,2.31E-06
1198,2.31E-06
37156,2.31E-06
7573,2.31E-06
52694,2.31E-06
52695,2.31E-06
52696,2.31E-06
52697,2.31E-06
52698,2.31E-06
37609,2.31E-06
37612,2.31E-06
29293,2.31E-06
14283,2.31E-06
49917,2.31E-06
48627,2.31E-06
48628,2.31E-06
49680,2.31E-06
56747,2.31E-06
52950,2.31E-06
40767,2.31E-06
40768,2.31E-06
51160,2.31E-06
51161,2.31E-06
28875,2.31E-06
29551,2.31E-06
29552,2.31E-06
56107,2.31E-06
28195,2.30E-06
15007,2.30E-06
30312,2.30E-06
50905,2.30E-06
50906,2.30E-06
50907,2.30E-06
21387,2.30E-06
33473,2.30E-06
33474,2.30E-06
33477,2.30E-06
33478,2.30E-06
1115,2.30E-06
53206,2.30E-06
53207,2.30E-06
53208,2.30E-06
53209,2.30E-06
53210,2.30E-06
54997,2.30E-06
54998,2.30E-06
54999,2.30E-06
45909,2.30E-06
29835,2.30E-06
58167,2.30E-06
15107,2.30E-06
12327,2.30E-06
12329,2.30E-06
61219,2.30E-06
30927,2.30E-06
7451,2.30E-06
18817,2.30E-06
15827,2.30E-06
55572,2.30E-06
51532,2.30E-06
51533,2.30E-06
51534,2.30E-06
65237,2.30E-06
46691,2.30E-06
43247,2.30E-06
56093,2.30E-06
56094,2.30E-06
45693,2.30E-06
53072,2.30E-06
53073,2.30E-06
53074,2.30E-06
46520,2.30E-06
64412,2.30E-06
64413,2.30E-06
64414,2.30E-06
19840,2.30E-06
41371,2.30E-06
53854,2.30E-06
61677,2.30E-06
19442,2.30E-06
24130,2.30E-06
24133,2.30E-06
24135,2.30E-06
24139,2.30E-06
35565,2.30E-06
74656,2.30E-06
74875,2.30E-06
74876,2.30E-06
74878,2.30E-06
22465,2.30E-06
38935,2.30E-06
47781,2.30E-06
55826,2.30E-06
55827,2.30E-06
54463,2.30E-06
41836,2.30E-06
11067,2.30E-06
26890,2.30E-06
39693,2.30E-06
38752,2.30E-06
8066,2.30E-06
61353,2.30E-06
53781,2.30E-06
53782,2.30E-06
53783,2.30E-06
53784,2.30E-06
4992,2.30E-06
6080,2.30E-06
7008,2.30E-06
25660,2.30E-06
25661,2.30E-06
25662,2.30E-06
25663,2.30E-06
25665,2.30E-06
25667,2.30E-06
25672,2.30E-06
25673,2.30E-06
25674,2.30E-06
25677,2.30E-06
25678,2.30E-06
25680,2.30E-06
49749,2.30E-06
59844,2.30E-06
57852,2.30E-06
57853,2.30E-06
2077,2.30E-06
17253,2.30E-06
17254,2.30E-06
17255,2.30E-06
17257,2.30E-06
17266,2.30E-06
28878,2.30E-06
36400,2.30E-06
18630,2.30E-06
39105,2.30E-06
39106,2.30E-06
39108,2.30E-06
33272,2.30E-06
64160,2.30E-06
64161,2.30E-06
64163,2.30E-06
46107,2.30E-06
46108,2.30E-06
46109,2.30E-06
67354,2.30E-06
67355,2.30E-06
55759,2.30E-06
55760,2.30E-06
24200,2.30E-06
72686,2.30E-06
20449,2.30E-06
23741,2.30E-06
28038,2.30E-06
28042,2.30E-06
28043,2.30E-06
28046,2.30E-06
28051,2.30E-06
28053,2.30E-06
74783,2.30E-06
74784,2.30E-06
48341,2.30E-06
38211,2.30E-06
7919,2.30E-06
7923,2.30E-06
7926,2.30E-06
7927,2.30E-06
7930,2.30E-06
7937,2.30E-06
7939,2.30E-06
7943,2.30E-06
7946,2.30E-06
72195,2.30E-06
29364,2.30E-06
34662,2.30E-06
34664,2.30E-06
55266,2.30E-06
53595,2.30E-06
53596,2.30E-06
53597,2.30E-06
40176,2.30E-06
51115,2.30E-06
51116,2.30E-06
51117,2.30E-06
9185,2.30E-06
9186,2.30E-06
9187,2.30E-06
9194,2.30E-06
9195,2.30E-06
13471,2.30E-06
49693,2.30E-06
49694,2.30E-06
49695,2.30E-06
49696,2.30E-06
49697,2.30E-06
34196,2.30E-06
6195,2.30E-06
9859,2.30E-06
13677,2.30E-06
13682,2.30E-06
28191,2.30E-06
72002,2.30E-06
72003,2.30E-06
72004,2.30E-06
72005,2.30E-06
72007,2.30E-06
54747,2.30E-06
56704,2.30E-06
12130,2.30E-06
41163,2.30E-06
62430,2.30E-06
62431,2.30E-06
26672,2.30E-06
26675,2.30E-06
52934,2.30E-06
52935,2.30E-06
33724,2.30E-06
25641,2.30E-06
25644,2.30E-06
51914,2.30E-06
51915,2.30E-06
31960,2.30E-06
31961,2.30E-06
56315,2.29E-06
49237,2.29E-06
17367,2.29E-06
24961,2.29E-06
24962,2.29E-06
24964,2.29E-06
24965,2.29E-06
24966,2.29E-06
24968,2.29E-06
24969,2.29E-06
51715,2.29E-06
54252,2.29E-06
30198,2.29E-06
52920,2.29E-06
48746,2.29E-06
63819,2.29E-06
5057,2.29E-06
11899,2.29E-06
11900,2.29E-06
14083,2.29E-06
14086,2.29E-06
30110,2.29E-06
45474,2.29E-06
45475,2.29E-06
45476,2.29E-06
45477,2.29E-06
45478,2.29E-06
45479,2.29E-06
45480,2.29E-06
45483,2.29E-06
51521,2.29E-06
60022,2.29E-06
54955,2.29E-06
56459,2.29E-06
30101,2.29E-06
33004,2.29E-06
38980,2.29E-06
55763,2.29E-06
14779,2.29E-06
29774,2.29E-06
44988,2.29E-06
44989,2.29E-06
61853,2.29E-06
61854,2.29E-06
61855,2.29E-06
27048,2.29E-06
36652,2.29E-06
35666,2.29E-06
45250,2.29E-06
45251,2.29E-06
36022,2.29E-06
36023,2.29E-06
57278,2.29E-06
40670,2.29E-06
31952,2.29E-06
45900,2.29E-06
45902,2.29E-06
33346,2.29E-06
25403,2.29E-06
29247,2.29E-06
73716,2.29E-06
73771,2.29E-06
2925,2.29E-06
3326,2.29E-06
3330,2.29E-06
3332,2.29E-06
3334,2.29E-06
3335,2.29E-06
3337,2.29E-06
47269,2.29E-06
37506,2.29E-06
23564,2.29E-06
25766,2.29E-06
25768,2.29E-06
55065,2.29E-06
55066,2.29E-06
55067,2.29E-06
44425,2.29E-06
44426,2.29E-06
44427,2.29E-06
20628,2.29E-06
20631,2.29E-06
20632,2.29E-06
20633,2.29E-06
20634,2.29E-06
20635,2.29E-06
20636,2.29E-06
20637,2.29E-06
20641,2.29E-06
20642,2.29E-06
20643,2.29E-06
20653,2.29E-06
20656,2.29E-06
20657,2.29E-06
20658,2.29E-06
20659,2.29E-06
20660,2.29E-06
20661,2.29E-06
20662,2.29E-06
20664,2.29E-06
20667,2.29E-06
20671,2.29E-06
20674,2.29E-06
12073,2.29E-06
32382,2.29E-06
32402,2.29E-06
49920,2.29E-06
157,2.29E-06
17243,2.29E-06
17246,2.29E-06
17247,2.29E-06
17248,2.29E-06
58535,2.29E-06
58536,2.29E-06
58537,2.29E-06
8964,2.29E-06
14393,2.29E-06
43859,2.29E-06
35898,2.29E-06
73863,2.29E-06
34208,2.29E-06
38790,2.29E-06
41085,2.29E-06
41094,2.29E-06
41095,2.29E-06
41096,2.29E-06
41098,2.29E-06
41099,2.29E-06
41101,2.29E-06
41102,2.29E-06
41103,2.29E-06
41105,2.29E-06
41107,2.29E-06
43374,2.29E-06
43375,2.29E-06
43376,2.29E-06
43377,2.29E-06
43378,2.29E-06
43379,2.29E-06
46487,2.29E-06
38362,2.29E-06
12397,2.29E-06
46147,2.29E-06
32824,2.29E-06
53870,2.29E-06
53871,2.29E-06
53872,2.29E-06
52972,2.29E-06
52973,2.29E-06
52974,2.29E-06
38802,2.29E-06
36486,2.29E-06
51999,2.29E-06
52002,2.29E-06
52003,2.29E-06
52004,2.29E-06
16431,2.29E-06
34974,2.28E-06
34975,2.28E-06
34976,2.28E-06
40260,2.28E-06
25011,2.28E-06
25012,2.28E-06
39490,2.28E-06
39491,2.28E-06
39492,2.28E-06
11039,2.28E-06
46636,2.28E-06
46638,2.28E-06
46639,2.28E-06
46640,2.28E-06
12137,2.28E-06
52294,2.28E-06
52295,2.28E-06
27757,2.28E-06
31224,2.28E-06
28408,2.28E-06
56759,2.28E-06
56760,2.28E-06
39274,2.28E-06
39277,2.28E-06
7360,2.28E-06
6998,2.28E-06
32876,2.28E-06
24537,2.28E-06
56595,2.28E-06
56596,2.28E-06
56597,2.28E-06
56598,2.28E-06
56599,2.28E-06
56600,2.28E-06
56601,2.28E-06
11727,2.28E-06
36645,2.28E-06
36646,2.28E-06
7795,2.28E-06
30980,2.28E-06
62969,2.28E-06
34969,2.28E-06
59595,2.28E-06
59596,2.28E-06
53216,2.28E-06
60323,2.28E-06
22223,2.28E-06
27171,2.28E-06
27172,2.28E-06
27173,2.28E-06
27175,2.28E-06
27176,2.28E-06
27177,2.28E-06
27178,2.28E-06
27179,2.28E-06
27180,2.28E-06
27181,2.28E-06
27182,2.28E-06
27183,2.28E-06
27184,2.28E-06
27185,2.28E-06
27186,2.28E-06
27187,2.28E-06
27188,2.28E-06
27189,2.28E-06
27190,2.28E-06
27191,2.28E-06
33587,2.28E-06
24569,2.28E-06
39539,2.28E-06
13746,2.28E-06
8069,2.28E-06
42490,2.28E-06
42492,2.28E-06
38332,2.28E-06
38333,2.28E-06
38334,2.28E-06
38335,2.28E-06
57554,2.28E-06
60298,2.28E-06
60299,2.28E-06
60300,2.28E-06
60301,2.28E-06
60884,2.28E-06
39352,2.28E-06
39353,2.28E-06
39358,2.28E-06
174,2.28E-06
43915,2.28E-06
43916,2.28E-06
43917,2.28E-06
43918,2.28E-06
43919,2.28E-06
43920,2.28E-06
43921,2.28E-06
43922,2.28E-06
43924,2.28E-06
58226,2.28E-06
48350,2.28E-06
7091,2.28E-06
26091,2.28E-06
54663,2.28E-06
54446,2.28E-06
51029,2.28E-06
51030,2.28E-06
51031,2.28E-06
51032,2.28E-06
51553,2.28E-06
51554,2.28E-06
51555,2.28E-06
35970,2.28E-06
35976,2.28E-06
35977,2.28E-06
35978,2.28E-06
35979,2.28E-06
35980,2.28E-06
35981,2.28E-06
35982,2.28E-06
35984,2.28E-06
35985,2.28E-06
35986,2.28E-06
35987,2.28E-06
35988,2.28E-06
35989,2.28E-06
35990,2.28E-06
35992,2.28E-06
35993,2.28E-06
35994,2.28E-06
35995,2.28E-06
35996,2.28E-06
35997,2.28E-06
35998,2.28E-06
35999,2.28E-06
36000,2.28E-06
36001,2.28E-06
36002,2.28E-06
36004,2.28E-06
60584,2.28E-06
24941,2.28E-06
15648,2.28E-06
19152,2.28E-06
34779,2.28E-06
36672,2.28E-06
36673,2.28E-06
36674,2.28E-06
36675,2.28E-06
36677,2.28E-06
36678,2.28E-06
36679,2.28E-06
36680,2.28E-06
36681,2.28E-06
36682,2.28E-06
36683,2.28E-06
36684,2.28E-06
36685,2.28E-06
36686,2.28E-06
36688,2.28E-06
36689,2.28E-06
36690,2.28E-06
36691,2.28E-06
36692,2.28E-06
36693,2.28E-06
36694,2.28E-06
36695,2.28E-06
36696,2.28E-06
36697,2.28E-06
36698,2.28E-06
36699,2.28E-06
36700,2.28E-06
36701,2.28E-06
36703,2.28E-06
36704,2.28E-06
36705,2.28E-06
36706,2.28E-06
36709,2.28E-06
36710,2.28E-06
36711,2.28E-06
36712,2.28E-06
36713,2.28E-06
36714,2.28E-06
36715,2.28E-06
36716,2.28E-06
36717,2.28E-06
36718,2.28E-06
36719,2.28E-06
36720,2.28E-06
36721,2.28E-06
36722,2.28E-06
36723,2.28E-06
36725,2.28E-06
36726,2.28E-06
36727,2.28E-06
36728,2.28E-06
36729,2.28E-06
36730,2.28E-06
36731,2.28E-06
36732,2.28E-06
36733,2.28E-06
36734,2.28E-06
36735,2.28E-06
36736,2.28E-06
36737,2.28E-06
36738,2.28E-06
36739,2.28E-06
36740,2.28E-06
36741,2.28E-06
36743,2.28E-06
36744,2.28E-06
36745,2.28E-06
36746,2.28E-06
36747,2.28E-06
36748,2.28E-06
36749,2.28E-06
36750,2.28E-06
36751,2.28E-06
36752,2.28E-06
36753,2.28E-06
36754,2.28E-06
36755,2.28E-06
36756,2.28E-06
36757,2.28E-06
36758,2.28E-06
36759,2.28E-06
36760,2.28E-06
36761,2.28E-06
36762,2.28E-06
36763,2.28E-06
36764,2.28E-06
36765,2.28E-06
36766,2.28E-06
36767,2.28E-06
36768,2.28E-06
36769,2.28E-06
36770,2.28E-06
36771,2.28E-06
36772,2.28E-06
36773,2.28E-06
36774,2.28E-06
36775,2.28E-06
36776,2.28E-06
36777,2.28E-06
36778,2.28E-06
36779,2.28E-06
36780,2.28E-06
36782,2.28E-06
36783,2.28E-06
36784,2.28E-06
36785,2.28E-06
36788,2.28E-06
36789,2.28E-06
36790,2.28E-06
36791,2.28E-06
36792,2.28E-06
36793,2.28E-06
36794,2.28E-06
36795,2.28E-06
36796,2.28E-06
36797,2.28E-06
36798,2.28E-06
36799,2.28E-06
36800,2.28E-06
36801,2.28E-06
36802,2.28E-06
36803,2.28E-06
36804,2.28E-06
36805,2.28E-06
36806,2.28E-06
36807,2.28E-06
36808,2.28E-06
36809,2.28E-06
36810,2.28E-06
36811,2.28E-06
36812,2.28E-06
36814,2.28E-06
36815,2.28E-06
36817,2.28E-06
36818,2.28E-06
36819,2.28E-06
36821,2.28E-06
36822,2.28E-06
36823,2.28E-06
36824,2.28E-06
36825,2.28E-06
36826,2.28E-06
36827,2.28E-06
36828,2.28E-06
36829,2.28E-06
36830,2.28E-06
36831,2.28E-06
36832,2.28E-06
36833,2.28E-06
36834,2.28E-06
36835,2.28E-06
36836,2.28E-06
36837,2.28E-06
36838,2.28E-06
36839,2.28E-06
36840,2.28E-06
36841,2.28E-06
36842,2.28E-06
36843,2.28E-06
36844,2.28E-06
36845,2.28E-06
36846,2.28E-06
36848,2.28E-06
36849,2.28E-06
36850,2.28E-06
36851,2.28E-06
73305,2.28E-06
73306,2.28E-06
73307,2.28E-06
73308,2.28E-06
73309,2.28E-06
73310,2.28E-06
73311,2.28E-06
73312,2.28E-06
73313,2.28E-06
73314,2.28E-06
73315,2.28E-06
73316,2.28E-06
73317,2.28E-06
73318,2.28E-06
73319,2.28E-06
73320,2.28E-06
73321,2.28E-06
73322,2.28E-06
73323,2.28E-06
73324,2.28E-06
73325,2.28E-06
73326,2.28E-06
18117,2.28E-06
47134,2.28E-06
47135,2.28E-06
47138,2.28E-06
47139,2.28E-06
22724,2.28E-06
7634,2.28E-06
39870,2.28E-06
39871,2.28E-06
43113,2.28E-06
62475,2.28E-06
62477,2.28E-06
62479,2.28E-06
62480,2.28E-06
62481,2.28E-06
62482,2.28E-06
62483,2.28E-06
58229,2.28E-06
30369,2.28E-06
48733,2.28E-06
62494,2.28E-06
62495,2.28E-06
62496,2.28E-06
57663,2.28E-06
57664,2.28E-06
57665,2.28E-06
45940,2.28E-06
45941,2.28E-06
10817,2.28E-06
53124,2.28E-06
54062,2.28E-06
54063,2.28E-06
54066,2.28E-06
22674,2.28E-06
55116,2.28E-06
32765,2.28E-06
32769,2.28E-06
32773,2.28E-06
35622,2.28E-06
35623,2.28E-06
35625,2.28E-06
35627,2.28E-06
35628,2.28E-06
35630,2.28E-06
35632,2.28E-06
35635,2.28E-06
35639,2.28E-06
35640,2.28E-06
35641,2.28E-06
35646,2.28E-06
35647,2.28E-06
35649,2.28E-06
22721,2.28E-06
34789,2.28E-06
35847,2.28E-06
22299,2.28E-06
60250,2.28E-06
60251,2.28E-06
56781,2.28E-06
48787,2.28E-06
52527,2.28E-06
50694,2.28E-06
50695,2.28E-06
3603,2.28E-06
11561,2.28E-06
17019,2.28E-06
28489,2.28E-06
37544,2.28E-06
42023,2.28E-06
42774,2.28E-06
42776,2.28E-06
42777,2.28E-06
42781,2.28E-06
42782,2.28E-06
42783,2.28E-06
42784,2.28E-06
42785,2.28E-06
42787,2.28E-06
42788,2.28E-06
42790,2.28E-06
42791,2.28E-06
42792,2.28E-06
42793,2.28E-06
42796,2.28E-06
42797,2.28E-06
42798,2.28E-06
42799,2.28E-06
42800,2.28E-06
42801,2.28E-06
42802,2.28E-06
42804,2.28E-06
42806,2.28E-06
42807,2.28E-06
42809,2.28E-06
42810,2.28E-06
42812,2.28E-06
42814,2.28E-06
42815,2.28E-06
42816,2.28E-06
42817,2.28E-06
42821,2.28E-06
42822,2.28E-06
42823,2.28E-06
42824,2.28E-06
42825,2.28E-06
42826,2.28E-06
42827,2.28E-06
42829,2.28E-06
42830,2.28E-06
42833,2.28E-06
42834,2.28E-06
42835,2.28E-06
42836,2.28E-06
42837,2.28E-06
42838,2.28E-06
42839,2.28E-06
42840,2.28E-06
42841,2.28E-06
42842,2.28E-06
42844,2.28E-06
42846,2.28E-06
42847,2.28E-06
42848,2.28E-06
42849,2.28E-06
42850,2.28E-06
42851,2.28E-06
42852,2.28E-06
42854,2.28E-06
42855,2.28E-06
42856,2.28E-06
42857,2.28E-06
42858,2.28E-06
42859,2.28E-06
42860,2.28E-06
42861,2.28E-06
42862,2.28E-06
42863,2.28E-06
42864,2.28E-06
42865,2.28E-06
42866,2.28E-06
42867,2.28E-06
42868,2.28E-06
42869,2.28E-06
42870,2.28E-06
42871,2.28E-06
42872,2.28E-06
42873,2.28E-06
42874,2.28E-06
42875,2.28E-06
42876,2.28E-06
42878,2.28E-06
42879,2.28E-06
42880,2.28E-06
42882,2.28E-06
42884,2.28E-06
42885,2.28E-06
42886,2.28E-06
42887,2.28E-06
42891,2.28E-06
74499,2.28E-06
74500,2.28E-06
74501,2.28E-06
74503,2.28E-06
74504,2.28E-06
74505,2.28E-06
74506,2.28E-06
74507,2.28E-06
74508,2.28E-06
74509,2.28E-06
74510,2.28E-06
74511,2.28E-06
74512,2.28E-06
74513,2.28E-06
74514,2.28E-06
74515,2.28E-06
74516,2.28E-06
74517,2.28E-06
74520,2.28E-06
74521,2.28E-06
74522,2.28E-06
74523,2.28E-06
74524,2.28E-06
74525,2.28E-06
74526,2.28E-06
74527,2.28E-06
74528,2.28E-06
74529,2.28E-06
74530,2.28E-06
74531,2.28E-06
74532,2.28E-06
74533,2.28E-06
74534,2.28E-06
74535,2.28E-06
74536,2.28E-06
74537,2.28E-06
74538,2.28E-06
74539,2.28E-06
74541,2.28E-06
74542,2.28E-06
35866,2.28E-06
35867,2.28E-06
35869,2.28E-06
59802,2.28E-06
272,2.28E-06
48493,2.28E-06
21058,2.28E-06
32800,2.28E-06
18731,2.28E-06
18733,2.28E-06
18737,2.28E-06
39818,2.28E-06
55376,2.28E-06
41938,2.28E-06
41940,2.28E-06
62226,2.28E-06
46060,2.28E-06
10254,2.28E-06
20499,2.28E-06
70598,2.28E-06
20302,2.28E-06
29213,2.28E-06
7834,2.28E-06
44098,2.28E-06
42927,2.28E-06
36145,2.28E-06
46705,2.28E-06
